序号	英文	释义
1	cancel	取消， 撤销， 删去 (vt.)
2	numerous	众多的 (adj.)
3	surgeon	外科医生 (n.)
4	analyse	分析； 分解， 解析 (vt.)
5	abrupt	突然的， 意外的； 唐突的， 鲁莽的 (adj.)
6	spacious	宽广的， 宽敞的 (adj.)
7	disapproval	不赞成 (n.)
8	spontaneous	自发的， 无意识的； 自然的， 天真率直的 (adj.)
9	remote	遥远的， 偏僻的； 关系疏远的； 脱离的； 绝少的； 微乎其微的； 孤高的， 冷淡的 (adj.)
10	cafeteria	自助餐馆， 自助食堂 (n.)
11	rupture	破裂 (v.)
12	wreck	失事，残骸；精神或身体已垮的人 (n.)
13	virgin	未经开发的， 未经使用的， 未经触动的； 处女的 (adj.)
14	afflict	使苦恼， 折磨 (vt.)
15	reproach	责备， 批评 (n&vt.)
16	fluctuate	波动， 涨落， 起伏 (vi.)
17	compartment	卧车包房， 隔间； 分隔的空间 (n.)
18	gloomy	忧郁的， 沮丧的； 令人沮丧的； 昏暗的， 阴沉的 (adj.)
19	kidnap	绑架， 诱拐 (n.)
20	warrant	授权令；理由，根据 (n.)
21	calculate	计算， 推算； 计划， 打算 (v.)
22	persistent	坚持不懈的， 执意的； 持续的 (adj.)
23	authorize	授权， 批准 (vt.)
24	sake	缘故， 理由 (n.)
25	audience	听众， 观众； 读者 (n.)
26	rehearsal	排练， 排演 (n.)
27	sniff	以鼻吸气，用力吸入；嗅，闻 (v.)
28	narrative	叙述文， 故事； 叙述， 讲述 (n.)
29	possess	占用， 拥有 (vt.)
30	coincide	同时发生； 相符， 相一致； 位置重合， 重叠 (vi.)
31	neutral	中立的， 中性的 (adj.)
32	scratch	抓，搔，扒；刮擦，刻划 (v.)
33	analysis	分析， 分析报告； 分解， 解析 (n.)
34	devise	设计， 发明 (vt.)
35	cooperative	有合作意向的，乐意合作的；合作的，协作的 (adj.)
36	triple	三部分的，三方的；三倍的，三重的 (adj.)
37	clutch	企图抓住 (vi.)
38	temper	韧度；心情，情绪 (n.)
